Date,Impressions,Installations,Uninstallations,Total Current Users,"Data From October 26, 2016 To October 31, 2017"
2016-10-26,581,0,0,205,
2016-10-27,589,2,0,206,
2016-10-28,529,0,0,204,
2016-10-29,510,0,1,202,
2016-10-30,494,0,0,202,
2016-10-31,474,2,0,208,
2016-11-01,556,3,0,211,
2016-11-02,547,3,0,218,
2016-11-03,536,1,0,219,
2016-11-04,601,1,0,217,
2016-11-05,506,1,0,216,
2016-11-06,555,0,0,213,
2016-11-07,482,1,2,209,
2016-11-08,526,3,0,208,
2016-11-09,544,3,0,210,
2016-11-10,530,0,0,211,
2016-11-11,554,1,1,216,
2016-11-12,509,1,0,215,
2016-11-13,529,4,0,215,
2016-11-14,531,0,0,218,
2016-11-15,539,1,1,218,
2016-11-16,586,6,2,225,
2016-11-17,589,3,1,224,
2016-11-18,523,0,0,226,
2016-11-19,520,1,0,228,
2016-11-20,543,0,0,226,
2016-11-21,551,3,0,228,
2016-11-22,568,2,3,229,
2016-11-23,542,5,1,233,
2016-11-24,528,2,1,236,
2016-11-25,574,0,0,239,
2016-11-26,540,1,0,243,
2016-11-27,528,1,0,243,
2016-11-28,568,1,2,240,
2016-11-29,533,1,0,246,
2016-11-30,564,1,0,244,
2016-12-01,602,3,0,247,
2016-12-02,599,3,1,244,
2016-12-03,586,2,3,247,
2016-12-04,544,1,1,249,
2016-12-05,602,5,0,256,
2016-12-06,628,2,3,254,
2016-12-07,657,6,2,261,
2016-12-08,649,3,1,263,
2016-12-09,574,2,1,263,
2016-12-10,622,2,1,261,
2016-12-11,594,3,1,267,
2016-12-12,631,3,1,269,
2016-12-13,630,2,2,263,
2016-12-14,623,1,0,272,
2016-12-15,633,6,1,269,
2016-12-16,602,6,4,277,
2016-12-17,557,5,1,279,
2016-12-18,575,4,1,283,
2016-12-19,578,6,1,285,
2016-12-20,591,5,4,284,
2016-12-21,574,4,2,288,
2016-12-22,594,3,1,282,
2016-12-23,553,6,3,280,
2016-12-24,546,5,0,286,
2016-12-25,582,1,1,289,
2016-12-26,554,1,1,287,
2016-12-27,633,5,1,280,
2016-12-28,613,6,2,282,
2016-12-29,591,3,0,284,
2016-12-30,570,2,2,281,
2016-12-31,490,1,3,286,
2017-01-01,550,4,1,287,
2017-01-02,643,5,5,301,
2017-01-03,677,2,2,305,
2017-01-04,797,7,0,309,
2017-01-05,656,4,0,312,
2017-01-06,695,3,1,311,
2017-01-07,687,2,0,312,
2017-01-08,682,2,0,317,
2017-01-09,621,1,0,325,
2017-01-10,644,3,3,327,
2017-01-11,700,2,1,331,
2017-01-12,746,5,0,337,
2017-01-13,1195,25,4,351,
2017-01-14,1045,16,4,371,
2017-01-15,893,16,3,386,
2017-01-16,1196,36,7,410,
2017-01-17,1000,25,3,441,
2017-01-18,914,10,4,450,
2017-01-19,1868,37,12,476,
2017-01-20,1178,21,8,500,
2017-01-21,981,17,5,516,
2017-01-22,1052,14,6,529,
2017-01-23,1069,8,4,542,
2017-01-24,1087,15,4,548,
2017-01-25,1238,49,7,585,
2017-01-26,1241,35,5,620,
2017-01-27,1264,28,2,644,
2017-01-28,1138,8,2,649,
2017-01-29,1114,0,0,644,
2017-01-30,1230,10,5,661,
2017-01-31,1296,11,3,656,
2017-02-01,1235,7,2,669,
2017-02-02,1319,8,4,676,
2017-02-03,1257,6,4,686,
2017-02-04,1226,6,2,697,
2017-02-05,1164,2,2,694,
2017-02-06,1189,0,2,700,
2017-02-07,1271,2,2,703,
2017-02-08,1366,8,2,705,
2017-02-09,1305,2,2,716,
2017-02-10,1216,7,2,717,
2017-02-11,1228,3,1,714,
2017-02-12,1153,7,0,714,
2017-02-13,1227,11,1,729,
2017-02-14,1234,7,3,733,
2017-02-15,1466,4,1,734,
2017-02-16,1260,8,3,739,
2017-02-17,1318,4,6,747,
2017-02-18,1093,4,4,753,
2017-02-19,1105,1,1,764,
2017-02-20,1218,6,0,762,
2017-02-21,1141,4,0,767,
2017-02-22,1191,9,2,773,
2017-02-23,1169,4,0,778,
2017-02-24,1192,4,0,780,
2017-02-25,1121,5,4,791,
2017-02-26,1145,0,2,790,
2017-02-27,1201,2,4,796,
2017-02-28,1154,1,2,799,
2017-03-01,1200,1,0,775,
2017-03-02,1201,2,1,806,
2017-03-03,1152,6,3,784,
2017-03-04,1087,2,0,785,
2017-03-05,1145,2,1,790,
2017-03-06,1233,7,4,792,
2017-03-07,1189,5,1,797,
2017-03-08,1213,5,0,802,
2017-03-09,1212,3,4,800,
2017-03-10,1144,3,1,793,
2017-03-11,1101,5,2,790,
2017-03-12,980,4,2,796,
2017-03-13,1099,5,0,795,
2017-03-14,1225,3,1,810,
2017-03-15,1204,3,3,818,
2017-03-16,1217,3,2,826,
2017-03-17,1036,5,3,809,
2017-03-18,745,2,2,817,
2017-03-19,867,4,3,823,
2017-03-20,886,7,4,843,
2017-03-21,897,8,2,843,
2017-03-22,941,7,2,847,
2017-03-23,952,3,0,875,
2017-03-24,867,6,2,890,
2017-03-25,786,4,2,867,
2017-03-26,885,2,5,869,
2017-03-27,957,1,9,865,
2017-03-28,901,3,3,863,
2017-03-29,929,4,4,880,
2017-03-30,865,3,2,865,
2017-03-31,892,4,1,870,
2017-04-01,853,8,1,868,
2017-04-02,815,1,0,871,
2017-04-03,821,2,0,876,
2017-04-04,866,4,7,872,
2017-04-05,953,5,4,878,
2017-04-06,951,5,2,871,
2017-04-07,935,2,3,879,
2017-04-08,853,2,2,876,
2017-04-09,769,2,0,874,
2017-04-10,835,2,2,885,
2017-04-11,943,3,2,885,
2017-04-12,895,5,5,879,
2017-04-13,831,2,3,868,
2017-04-14,864,4,4,865,
2017-04-15,835,2,1,851,
2017-04-16,842,7,1,861,
2017-04-17,921,4,1,865,
2017-04-18,983,4,3,858,
2017-04-19,1023,3,2,859,
2017-04-20,950,3,0,847,
2017-04-21,846,5,4,843,
2017-04-22,857,2,0,849,
2017-04-23,850,6,7,852,
2017-04-24,888,6,5,862,
2017-04-25,898,4,2,870,
2017-04-26,879,9,10,875,
2017-04-27,922,8,3,893,
2017-04-28,841,7,1,901,
2017-04-29,734,4,2,901,
2017-04-30,752,5,1,914,
2017-05-01,769,9,5,907,
2017-05-02,837,4,5,921,
2017-05-03,853,3,3,923,
2017-05-04,824,4,4,931,
2017-05-05,829,3,2,930,
2017-05-06,763,4,0,938,
2017-05-07,766,4,2,960,
2017-05-08,859,6,5,967,
2017-05-09,804,3,1,960,
2017-05-10,851,0,3,954,
2017-05-11,870,0,3,944,
2017-05-12,861,3,2,953,
2017-05-13,753,3,3,946,
2017-05-14,687,1,0,943,
2017-05-15,906,4,3,954,
2017-05-16,911,4,3,948,
2017-05-17,954,2,2,943,
